brand,model,car,type
volvo,xc40,volvo xc40,0
volvo,xc60,volvo xc60,0
bmw,216d grand tourer,bmw 216d grand tourer,1
bmw,216i grand tourer,bmw 216i grand tourer,1
bmw,218i grand tourer,bmw 218i grand tourer,1
bmw,x5 6 seater,bmw x5 6 seater,1
chevrolet,orlando,chevrolet orlando,1
citroen,c4 picasso,citroen c4 grand picasso,1
citroen,c4 picasso,citroen c4 picasso,1
daihatsu,terious,daihatsu terios,1
ford,s-max,ford s-max,1
honda,freed,honda freed,1
honda,freed,honda freed hybrid,1
honda,jade,honda jade,1
honda,mobilio,honda mobilio,1
honda,odyssey,honda odyssey,1
honda,stepwagon,honda stepwagon,1
honda,stepwagon,honda stepwagon spada,1
honda,stream,honda stream,1
hyundai,santa fe,hyundai santa fe,1
kia,carens,kia carens,1
kia,carnival,kia carnival,1
kia,sorento,kia sorento,1
land rover,discovery,land rover discovery,1
land rover,discovery sport,land rover discovery sport,1
mazda,5,mazda 5,1
mazda,8,mazda 8,1
mitsubishi,grandis,mitsubishi grandis,1
mitsubishi,outlander,mitsubishi outlander,1
opel,zafira,opel zafira,1
peugeot,5008,peugeot 5008,1
proton,exora,proton exora,1
renault,grand scenic,renault grand scenic,1
ssangyong,stavic,ssangyong stavic,1
suzuki,apv,suzuki apv,1
toyota,avanza,toyota avanza,1
toyota,estima,toyota estima,1
toyota,innova,toyota innova,1
toyota,isis,toyota isis,1
toyota,passo sette,toyota passo sette,1
toyota,picnic,toyota picnic,1
toyota,previa,toyota previa,1
toyota,prius plus,toyota prius +,1
toyota,prius alpha,toyota prius alpha,1
toyota,prius plus,toyota prius plus,1
toyota,sienta,toyota sienta,1
toyota,wish,toyota wish,1
volkswagen,touran,volkswagen touran,1
volvo,xc90,volvo xc90,1
chrysler,grand voyager,chrysler grand voyager,4
hyundai,starex,hyundai starex,4
london,tx4,london tx4,4
mazda,biante,mazda biante,4
mercedes-benz,glb200,mercedes benz glb200,4
mercedes-benz,r280l,mercedes benz r280l,4
mercedes-benz,v220,mercedes benz v220,4
mercedes-benz,v250,mercedes benz v250,4
mercedes-benz,viano,mercedes benz viano,4
mercedes-benz,vito,mercedes benz vito,4
nissan,elgrand,nissan elgrand,4
nissan,serena,nissan serena,4
nissan,serena,nissan serena highway,4
suzuki,landy,suzuki landy,4
toyota,alphard,toyota alphard,4
toyota,alphard,toyota alphard hybrid,4
toyota,esquire,toyota esquire,4
toyota,esquire,toyota esquire hybrid,4
toyota,noah,toyota noah,4
toyota,noah hybrid,toyota noah hybrid,4
toyota,vellfire,toyota vellfire,4
toyota,vellfire,toyota vellfire hybrid,4
toyota,voxy,toyota voxy,4
toyota,voxy,toyota voxy hybrid,4
volvo,xc90,volvo xc90,4
audi,a4,audi a4,13
audi,a5,audi a5,13
audi,a6,audi a6,13
audi,a7,audi a7,13
audi,a8,audi a8,13
audi,a8l,audi a8l,13
audi,q3,audi q3,13
audi,q5,audi q5,13
audi,q7,audi q7,13
audi,s3,audi s3,13
audi,s4,audi s4,13
bmw,316i,bmw 316i,13
bmw,318i,bmw 318i,13
bmw,323i,bmw 323i,13
bmw,325i,bmw 325i,13
bmw,328i,bmw 328i,13
bmw,330i,bmw 330i,13
bmw,335i,bmw 335i,13
bmw,420i,bmw 420i,13
bmw,520d,bmw 520d,13
bmw,520i,bmw 520i,13
bmw,523i,bmw 523i,13
bmw,525i,bmw 525i,13
bmw,528i,bmw 528i,13
bmw,535i,bmw 535i,13
bmw,730li,bmw 730li,13
bmw,740li,bmw 740li,13
bmw,active hybrid 5,bmw active hybrid 5,13
bmw,x1,bmw x1,13
bmw,x4,bmw x4,13
bmw,x5,bmw x5,13
bmw,x6,bmw x6,13
chrysler,300,chrysler 300,13
chrysler,300c,chrysler 300c,13
chrysler,300s,chrysler 300s,13
chrysler,srt8,chrysler srt8,13
infiniti,m25,infiniti m25,13
infiniti,q30,infiniti q30,13
infiniti,q50,infiniti q50,13
infiniti,q70,infiniti q70,13
jaguar,x-type,jaguar x-type,13
jaguar,xe,jaguar xe,13
jaguar,xf,jaguar xf,13
jaguar,xj,jaguar xj,13
lexus,es,lexus es,13
lexus,es250,lexus es250,13
lexus,es300h,lexus es300h,13
lexus,gs250,lexus gs250,13
lexus,gs300,lexus gs300,13
lexus,gs350,lexus gs350,13
lexus,gs450,lexus gs450,13
lexus,gs450h,lexus gs450h,13
lexus,is200t,lexus is200t,13
lexus,is250,lexus is250,13
lexus,ls,lexus ls,13
lexus,ls350,lexus ls350,13
lexus,ls500,lexus ls500,13
lexus,nx200t,lexus nx200t,13
lexus,rx200t,lexus rx200t,13
lexus,rx350,lexus rx350,13
lexus,rx400h,lexus rx400h,13
lexus,rx450h,lexus rx450h,13
mercedes-benz,b180,mercedes benz b180,13
mercedes-benz,c180,mercedes benz c180,13
mercedes-benz,c180,mercedes benz c180k,13
mercedes-benz,c200,mercedes benz c200,13
mercedes-benz,c200,mercedes benz c220,13
mercedes-benz,c350,mercedes benz c350e,13
mercedes-benz,cla 180,mercedes benz cla 180,13
mercedes-benz,cla 200,mercedes benz cla 200,13
mercedes-benz,cla 45,mercedes benz cla 45,13
mercedes-benz,cls 200,mercedes benz cls 200,13
mercedes-benz,cls 350,mercedes benz cls 350,13
mercedes-benz,e200,mercedes benz e200,13
mercedes-benz,e200,mercedes benz e200k,13
mercedes-benz,e220,mercedes benz e220,13
mercedes-benz,e220d,mercedes benz e220d,13
mercedes-benz,e230,mercedes benz e230,13
mercedes-benz,e250,mercedes benz e250,13
mercedes-benz,e280,mercedes benz e280,13
mercedes-benz,e300,mercedes benz e300,13
mercedes-benz,e320,mercedes benz e320,13
mercedes-benz,e350e,mercedes benz e350e,13
mercedes-benz,glc200,mercedes benz glc200,13
mercedes-benz,s350l,mercedes benz s350l,13
mercedes-benz,s400l,mercedes benz s400l,13
mercedes-benz,s500l,mercedes benz s500l,13
mercedes-benz,v220,mercedes benz v220,13
mitsuoka,galue,mitsuoka galue,13
mitsuoka,nouera,mitsuoka nouera,13
porsche,cayenne,porsche cayenne,13
porsche,panamera,porsche panamera,13
range rover,sport,range rover sport,13
skoda,superb,skoda superb,13
skoda,supreme,skoda supreme,13
tesla,model 3,tesla model 3,13
tesla,model y,tesla model y,13
volvo,s80,volvo s80,13
volvo,s90,volvo s90,13
volvo,v60,volvo v60,13
toyota,hiace,toyota hiace,3001
